,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,Region,Income Group,School Closures,As of,Date,Number of confirmed cases at time of closure,Planned Reopening,Planned Length of Closure (Weeks),Closure extended?,Planned re-opening 2,Details of closure,"Reopening process started
(Y/N/School year ended)",Date reopening process started,Number of cases at re-opening,Total Weeks closed,Details of re-opening,Remote/online tuition?,Online,Radio,TV,Sending work home with students / providing hardcopies of materials,Distance curriculum available in multiple languages?,Details of language of materials,Parent guide?,Details of parent guidance,Education Emergency Plan?,National exams impacted?,National exams impacted? (Detail),Plans for Special Education? (Y/N),Special Education detail,Broader workplace closures?,Existing Cash Transfer Supplemented?,Details of Cash Transfer / social proection program,Other supports - Childcare,Other supports - Childcare (Detail),Other supports - Meals,Other supports - Meals (Details),Other supports - Other,Source,Source,Facebook Page,Official COVID Education Policy Document,Source for Re-opening
Kosovo,XKX,Europe & Central Asia,Upper middle income,Yes,,11 March,0,,,,,,No information,,,,,Nothing as of March 20th,No,No,No,No,,,,,,,,,,,Yes,Verification of eligibility suspended; early payment of existing transfer + 1 month bonus (Gentilini),,,,,,https://www.usnews.com/news/world/articles/2020-03-13/kosovo-confirms-first-coronavirus-cases-an-italian-and-a-kosovar,https://masht.rks-gov.net/en/arsimi-1,,,
Kuwait,KWT,Middle East & North Africa,High income,Yes,,1 March,25,Initially 2 weeks but extended indefinitely,2,,,,No,,,,,Transitioning to e-learning; MoE has a youtube channel,Yes,No,No,No,,,,,,,,,,,,,,,,,,"https://www.middleeastmonitor.com/20200227-coronavirus-kuwait-has-suspended-schools-for-two-weeks/

https://twitter.com/MOEKUWAIT/status/1232659575565885447",https://www.moe.edu.kw/,,,
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,Yes,,14 March,0,8 April,4,,,,School year ended,,,,,"MoE organizing online training courses, television programs, textbooks and literature books, information technology and other types of electronic resources.

Video lessons for primary and secondary schools; free access to websites with educational content; all students and teachers provided with SIM-cards and access to education apps for free; MoE launched 'Reading Family' initiative through facebook; free mobile app for secondary students; private testing company launched online lessons (From Harry Patrinos' blog) ",Yes,No,Yes,No,Yes,"""This training is for schools with Kyrgyz, Russian, Tajik and Uzbek languages ​​of instruction."" (MoE)",Yes,"Resources for parents available online in Kyrgyz, Russian, Tajik and Uzbek languages.",,Yes,National exams postposed indefinitely,,,,,,,,,,,"https://edu.gov.kg/kg/news/organizaciyam-dopolnitelnogo-obrazovaniya-rekomenduetsya-priostanovit-svoyu-deyatelnost-do-8-aprelya/

https://edu.gov.kg/kg/news/ministerstvo-obrazovaniya-i-nauki-organizuet-distancionnoe-obuchenie-dlya-shkolnikov/","https://24.kg/

https://hpatrinos.com/2020/04/06/the-coming-economic-crisis-and-the-education-response/",,,
Lao PDR,LAO,East Asia & Pacific,Lower middle income,Yes,,20 March,0,Indefinitely,,,,UNESCO's map says closed on March 20th but MoE page does not?,Yes,18 May,,,,Nothing from MoE as of March 22,No,No,No,No,,,,,,,,,,,,,,,,,,"https://foreignpolicy.com/2020/03/20/laos-coronavirus-free-claims-probably-fiction/

https://www.straitstimes.com/asia/se-asia/coronavirus-with-zero-infections-laos-and-myanmar-gird-for-battle",http://www.moes.edu.la/,https://www.facebook.com/Ministry-of-Education-and-Sports-Lao-PDR-350432548309289/,,
Latvia,LVA,Europe & Central Asia,High income,Yes,,14 March,26,14 April,4,,,"""on-site learning shall be suspended in all educational establishments and remote training shall be ensured. The State centralised examinations shall be suspended, ensuring the examination in foreign languages during the period from 12 May to 15 May 2020.""",School year ended,,,,,"Distance learning will be made available

""On March 19, 2020, the government supported the Ministry of Education and Science (MES) initiative to donate 5,000 smart devices to pupils, but the ministry admits that there might be more pupils in need. The Ministry of Education and Science calls on municipalities to become more actively involved in this process by ensuring school and learner readiness for the distance learning process. According to a survey of primary and secondary general education institutions conducted by the MoES, there are approximately 3% or 5,000 students in Latvia who do not have a computer or a smartphone with Internet access at home, which means that these students cannot participate fully in the distance learning process. In order to solve this problem promptly on the basis of the survey data, the Ministry of Education and Science addressed the telecommunications and communications companies."" Costs will be covered by MoE contingency funds. 

Special education institutions will also provide distance learning

Resources being made available for parents and teachers",Yes,No,No,No,No,Materials available in Latvian.,Yes,Parent resources available in Latvian. Written materials and videos available. ,,Yes,State centralized exams will be suspended,Yes,Special education institutions will also provide distance learning,,,,Yes,Pre-schools will be kept open for as long as possible to support child care. Families are required to submit confirmation in writing every two weeks that the family is not ill and has not traveled abroad in order to be able to continue accessing services. ,,,,"https://www.mk.gov.lv/en/aktualitates/regarding-declation-emergency-situation

https://www.izm.gov.lv/en/highlights/3981-izm-aicina-pasvaldibas-aktivak-atbalstit-skolenus-attalinato-macibu-istenosanai

",https://www.leta.lv/eng/home/important/14B48336-157C-4072-990C-E44E801DA172/,https://www.facebook.com/Izglitibas.ministrija,,
Lebanon,LBN,Middle East & North Africa,Upper middle income,Yes,,10 March,77,Indefinitely,,,,,School year ended,,,,,"MoE held meeting on March 20th with teachers and administrators to discuss transition to online learning platforms. 

Lessons broadcast on TV according to a timetable by grade. ",Yes,No,Yes,No,Yes,"Lessons broadcast in Arabic, English, and French. ",No,,,,,,,,,,,,,,Utility/financial support; paid sick leave,,https://www.mehe.gov.lb/ar#,https://www.facebook.com/MEHELebanon/,,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,Yes,,19 March,0,17 April,4,,,Government announced plans to close schools March 18th w/o any confirmed cases. This is in part due to worries over not having testing capacity,Yes,14 May,,,,No plans annouced as of March 20,No,No,No,No,,,,,,,,,,,,,,,Yes,"MoE making school feeding available to students. ""All children attending public primary schools in Lesotho will be fed, since the Ministry of Education and Training is cognizant of the disadvantaged learners to whome one meal at school constitutes the only nutritious meal available to them. The Ministry thus directs that meals shall continue to be provided to all the primary school children under Free Primary Education during the moratorium period""",,,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,https://www.facebook.com/Ministry-of-Education-and-Training-Lesotho-372634272830034/,,
Liberia,LBR,Sub-Saharan Africa,Low income,Yes,,17 March,1,2 weeks,2,Yes,Indefinitely,"Schools initially closed for one week on March 17th. Closure extended until March 31 as of March 20th. School closures extended indefinitely on April 1.

""Meanwhile, the re-opening of schools will be predicated upon the declaration and advice from NPHIL and the Ministry of Health. As of this date, all schools should remain closed until otherwise. All students, parents, and guardians, as well as all Education Stakeholders, are to observe all preventive measures and protocols from NPHIL and the Ministry of Health."" From All Africa April 1

",Yes,22 June,,,,"""Provide continuity of instruction and engage students meaningfully at home through “MoE distance learning project” (utilizing National and community radio stations). Program will provide continual instructional opportunities for all learners at home from Early Childhood Education (ECE) to Secondary Education."" (March 26)

""The duration of the teaching by radio program is temporarily for 6 weeks but subject to extension predicated upon the advice from the Ministry of Health and National Public Health Institute, Liberia (NPHIL). The teaching will be hosted daily on multiple local radio stations across the country and scream live on social media."" (*March 26)

""In the meantime, the Ministry in collaboration with Partners has officially launched the emergency program entitled ""Teaching By Radio"" which will run for 6 weeks initially to engage students and parents to learn at home while they are observing the preventive measures and protocols of COVID-19. This program will be broadcast on various national radio stations in Montserrado County and community radio stations throughout the country."" (April 1)

32 stations now broadcast several prerecorded lessons a day, each lasting half an hour, catering to different educational levels. Lessons cover subjects from literature to maths and science to social studies, interspersed with health tips and messages promoting the wellbeing of students and their families.",No,Yes,Yes,No,No,Broadcasts in English,No,,,Yes,"WAEC Cancelled, 20 March https://www.dailytrust.com.ng/covid-19-waec-postpones-2020-wassce.html",,,,,,,,Yes,Moving from school-based meals to take-home food rations,,"https://allafrica.com/stories/202003170601.html

https://moe-liberia.org/public-service-announcement-4/

https://www.aljazeera.com/news/2020/04/liberia-takes-classes-airwaves-covid-19-pandemic-200415203012448.html","http://moe-liberia.org/ministry-of-education-launches-an-innovative-way-to-sustain-learning-in-isolation-during-covid19-pandemic/

https://allafrica.com/stories/202004010579.html

https://www.devex.com/news/wfp-repackages-efforts-to-reach-hungry-children-as-covid-19-closes-schools-96878",https://www.facebook.com/LiberiaMOE/,,
Libya,LBY,Middle East & North Africa,Upper middle income,Yes,,16 March,0,2 weeks,2,,,Closed as a precautionary measure due to cases in neighboring countries despite not yet having any confirmed cases. ,No information,,,,,Government partnering with television networks to offer free educational programming,,,Yes,,,,,,,,,,,,,,,,,,,https://www.libyaobserver.ly/inbrief/ministry-education-suspends-schools-precautionary-measure-against-coronavirus,,,,
Liechtenstein,LIE,Europe & Central Asia,High income,,,,,,,,,,Yes,18 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,Europe & Central Asia,High income,Yes,,12 March,6,2 weeks,2,,,Initial two weeks of closure are considered vacation for students while educators are encouraged to use those two weeks to develop plans for transitioning online should closures extend beyond initial two weeks. ,Yes,25 May,,,,"Moving to online instruction March 27th

""Businesses and the public are invited to contribute to the provision of students with laptops, tablets, and Internet access.""

""The Ministry of Education, Science and Sports intends to buy or rent 35,000 computers in preparation for potential distance learning. Also asks anyone who can donate or lend computers to schools.""",Yes,No,No,No,No,Materials available in Lithuanian. ,Yes,Parent guides available in Lithuanian.,,Yes,Primary school achievement exams cancelled; 10th grade students allowed to take exams remotely and self-assess; Maturity exams postponed until further notice,,,,,,,,,,Employers encouraged to give paid leave to parents who need to stay home with young children during school closures,"https://lietuva.lt/wp-content/uploads/2020/03/UPDATE-March-12-1.pdf

https://www.lrt.lt/en/news-in-english/19/1150823/lithuanian-government-orders-school-closures-and-travel-restrictions-to-prevent-coronavirus",https://www.smm.lt/uploads/documents/tevams.pdf,https://www.facebook.com/SvietimoIrMoksloMinisterija/,,
Luxembourg,LUX,Europe & Central Asia,High income,Yes,,12 March,19,29 March,2,Yes,4 May,"Online curriculum and lessons available; delaying the end of the school year by 2 weeks to make up lost time.

Closures extended until May 4 on April 2",Yes,25 May,,,,"Online curriculum & lesssons available

Museums also making education videos for children

""A remote supervision system is set up to ensure continuity of learning during the weeks of suspension. Students are offered a work plan and learning situations by their teachers."" (From MoE)

""Distance learning will focus on essential content, including new contents, whose mastery is essential for the student to progress in his career school. When courses are resumed, the contents treated within the framework of distance education will be consolidated in class, before new learning is started."" (MoE)

Also plans to make-up classes in the summer and condense second and third terms: ""The 2nd and 3rd terms of the current school year are merged into a single period of reference which runs from Monday January 6, 2020 to Wednesday July 15, 2020.""

""Distance education may have negative effects for some populations school, including the most disadvantaged and vulnerable students. To prevent students from find themselves isolated at home and do not participate in distance education, a procedure systematic will be implemented at the national level. This will clearly identify this target population and support the pupils concerned with a series of measures."" [This includes students with disabilities] (From MoE)",Yes,No,No,No,Yes,Multiple languages available,Yes,"Parent information available in multiple languages. ""Questions about the interruption of activities in schools and daycare centers? Here you can find answers to frequently asked questions in seven languages: French, Luxembourgish, German, English, Portuguese, Arabic and Chinese.""",Yes (new),Yes,"Postponing national exams for some grade levels.

Content of secondary school exams altered to only cover material through early March. ",Yes,"""Parents of a child over 13 with disabilities can now request leave for family reasons""",,,,Yes,Parents who need to stay home with children under 13 are eligble for family leave pay.,,,,"https://script.lu/fr/schoul-doheem-2020

http://www.men.public.lu/fr/actualites/articles/communiques-conference-presse/2020/03/12-fermeture-Covid-19A/avis-ef-fr.pdf

https://today.rtl.lu/news/luxembourg/a/1481888.html",https://www.schouldoheem.lu/lu,https://www.facebook.com/MENJELuxembourg/?fref=mentions&__xts__[0]=68.ARCeNIfxLKO544qFQDCJ-4z0hVZP9Z6c-M6ttJTtG9CI7C4kpjf4_0oQlKJU3KeYyvrY53kW98Jbnb4fj2_SFbYMRARYKCH7XAylcnsDCAsg5zlat1oc5OEOA4D61g3bsydtFYzxC-Kjh7e3AO7HpPDiuC2CHpnpEFVW4kRSZydWwy0yWlH5LS0jngvPtV4xk-vTmQvSAfCT4lndw40MUvpqy5GObiqc_VfK7d8V2-tGHU1VFfAeQKzlbCyQGpe-z8oHkjdLDGzLz9rn28SJ25bdrfTDjLtbjXau4Rap0I31D96vYIUzJU37FV-F0BPDjtWD3eZMFZVD5_B6fYVmIVF-JQ&__tn__=K-R,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/luxembourg_covid_ecoles.pdf,
"Macao SAR, China",MAC,East Asia & Pacific,High income,Yes,,,,Indefinitely,,,,Schools initially scheduled to re-open on March 30th. Postponed again on March 19th indefnitely.,,,,,,"Online learning available through MoE

Online and telephone counseling available to students through Department of Education. ",Yes,No,No,No,Yes,"Some materials available in Chinese, Portugese, and English",Yes,Materials for parents available. Some are available in multiple languages.,,,,,,,,,,,,,,"https://www.gov.mo/en/news/122782/

https://portal.dsej.gov.mo/webdsejspace/site/studyarrange/index-e.jsp?con=resource","http://www.dsej.gov.mo/~webdsej/web/index.php?t=Sun%20Mar%2029%202020%2021:07:44%20GMT-0400%20(Eastern%20Daylight%20Time)

https://portal.dsej.gov.mo/webdsejspace/site/studyarrange/index-e.jsp?con=letter",https://www.facebook.com/dsejmacau,,
Madagascar,MDG,Sub-Saharan Africa,Low income,Yes,,23 March,12,22 April,,,,All schools and universities initially closed March 23 - April 22. ,Yes,22 April,,,,"Developing radio and television-based instruction platforms.

Educational self-learning booklets are being developed for high school students. ",No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,"http://www.education.gov.mg/actualites/

http://www.education.gov.mg/ceg-ambanintsena-lancement-officiel-de-la-remise-des-livrets-dapprentissage-pour-les-eleves-du-secondaire/",https://www.thesouthafrican.com/news/africa/coronavirus-covid-19-madagascar-lockdown/,,,
Malawi,MWI,Sub-Saharan Africa,Low income,Yes,,23 March,0,Indefinitely,,,13 July,All schools and universities closed.,No,,,,,"Online learning available for secondary school students. ""Ministry of Education Science and Technology and TNM plc have signed a Memorandum of Understanding (MOU) to provide free internet to learners. This is to keep children learning in the face of the #COVID-19 pandemic.""

Some television and radio programs available for primary school students. ",Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,https://www.education.gov.mw/,"https://www.nyasatimes.com/malawi-lockdown-imminent-to-prevent-coronavirus-outbreak-as-cases-rise-in-africa/

https://twitter.com/NationOnlineMw/status/1252524263887851522",,,
Malaysia,MYS,East Asia & Pacific,Upper middle income,Yes,,16 March,553,31 March,2,,24 June,,Yes,,,,,"Distance learning platform available.

Encouraging parents to home-school and advertising some ideas for activities on MoE Facebook page. 

""For students with limited Internet access, teachers can ask them to carry out their learning activities using textbooks, workbooks, review books and activity books without leaving home for personal study there is nothing left in learning.""",Yes,No,No,Yes,No,Materials available in Malay.,Yes,Resources for parents available in Malay.,,Yes,Exams delayed,,,,Yes,Existing cash transfer will be increased ,,,,,One time payment to people in select service sectors; critical worker allowance (Gentilini),"https://www.moe.gov.my/en/pemberitahuan/announcement

https://www.aljazeera.com/news/2020/03/toll-rises-coronavirus-tightens-global-grip-live-updates-200315231500487.html

https://www.reuters.com/article/us-healthcare-coronavirus-malaysia/malaysia-closes-borders-schools-and-businesses-as-virus-tally-climbs-idUSKBN2131JY",https://sites.google.com/moe-dl.edu.my/gerbangpdpjpwpkl/home,https://www.facebook.com/KemPendidikan/,,
Maldives,MDV,South Asia,Upper middle income,Yes,,12 March,13,29 March,2,,,"""lessons are being delivered to students via online platforms. This week, a TV program was launched to deliver school lessons to tenth graders who will be sitting the O' level exams this year. The lessons will be aired via Youtube and on state TV Channel PSM and YES TV.

The Education Ministry is currently making preparations to begin online schooling for lower grades. The ministry is compiling a list of students who do not have access to TV or the internet.""",No,,,,,Lessons delivered online and through TV broadcasting,Yes,No,Yes,No,,,,,Yes (new),,,,,,,,,,,,,"https://avas.mv/en/79752https://avas.mv/en/79752

https://avas.mv/en/79749",https://www.moe.gov.mv/assets/upload/SOP_on_COVID_19_09.03.2020.pdf,https://www.facebook.com/EducationMV/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/maldives_sop_on_covid_19_09.03.2020.pdf,
Mali,MLI,Sub-Saharan Africa,Low income,Yes,,19 March,0,8 April,3,,,,Yes,2 June,,,,Nothing as of March 20th,No,No,No,No,,,,,,,,,,,,,,,,,,https://mosaiqueguinee.com/covid-19-le-mali-suspend-tout-ecoles-rassemblements-boites-de-nuit-vols-venant-de-pays-touches/,http://www.education.gouv.ml/contenu_actualite.aspx,https://www.facebook.com/Minist%C3%A8re-de-lEducation-Nationale-du-Mali-507828789396082/,,
Malta,MLT,Middle East & North Africa,High income,Yes,,12 March,12,20 March,1,,,MoE offering online learning,School year ended,,,,,MoE offiering online learning platforms,Yes,No,No,No,Yes,Migrant students unit of Ministry of Education is providing some materials online materials in other languages. Most are in English. ,Yes,Parental resources online. Most in English or Maltese. Some in additional languages from Migrant Students Unit. ,,Yes,oral examinations at ordinary level will not be held; will re-evalaute exams for other levels as the situation evolves. ,,,,,,,,,,,"https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/

","https://www.facebook.com/pg/migrantlearnersunitmalta/posts/?ref=page_internal

https://curriculum.gov.mt/en/digital_resources/Pages/Maths-Week-by-Week-Study-Lessons.aspx",https://www.facebook.com/edukazzjoni/,,
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,No,25 March,,,,,,,,School year ended,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/rmipss/,,https://www.facebook.com/rmipss/,,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,Yes,,15 March,2,1 week,1,,,,School year ended,,,,,No guidance as of 3.19,No,No,No,,,,,,,,,,,,,,,,,,,http://www.education.gov.mr/,,,,
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,Yes,,19 March,3,Indefinitely,,,,Schools closed March 19th. An initial general lockdown was announced from March 19 - May 4.,No,,,,,"MoE posted links to Mathematics resources for educators from Cambridge Educaiton, but there is currently no distance learning plan. Advice for parents posted includes one-on-one time, setting structure, and managing bad behavior. 

""A large amount of resources is already available for Grades 7 to 9 on the Student Support Programme (SSP) portal. These lessons will also be broadcast on the MBC TV channels"" (MoE); Grad 10-12 will have online Zoom lessons with teachers. Currently no plans for primary distance learning. ",Yes,No,Yes,No,,,,,,,,,,,,,,,,,,"http://www.govmu.org/English/News/Pages/Covid-19-Mauritius-extends-travel-restrictions-extended-to-European-countries-and-Reunion-Island-for-next-two-weeks.aspx

https://www.facebook.com/notes/coronavirus-moris/fermeture-des-%C3%A9tablissements-scolaires/105130654459929/",http://ministry-education.govmu.org/English/Pages/Parenting-Tips.aspx,https://www.facebook.com/notes/coronavirus-moris/fermeture-des-%C3%A9tablissements-scolaires/105130654459929/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/mauritius_communique_covid_secondary_schools_students.pdf,
Mexico,MEX,Latin America & Caribbean,Upper middle income,Yes,,20 March,41,20 April,4,,,School calendar will be adjusted. Current plan is for extended school break. Government is exploring possibility of transition to distance learning from that point; The SEP will establish an electronic and digital distance education system for the recovery of learning content.; while school is still in session (closings announced March 13) a number of in school health screening measures were implemented including several involving parents).,School year ended,,,,,"MoE making online and TV learning available

""From March 30th we will start online diplomas and courses for teachers related to updating and training in the use of digital information, communication, knowledge and learning technologies"" (MoE)

Declaration from MoE says parents are required to continue with learning at home. ",Yes,No,Yes,No,No,Materials available in Spanish,,,Yes (new),,,,,,Yes,Anticipating payment of pensions is moved up to support older adults (Gentilini),,,,,Advance of pensions for older people (Gentilini),"https://twitter.com/mexicoworldcup/status/1238930358307041282?s=21

https://twitter.com/SEP_mx
",https://www.gob.mx/sep/articulos/comunicado-conjunto-no-3-presentan-salud-y-sep-medidas-de-prevencion-para-el-sector-educativo-nacional-por-covid-19?idiom=es,,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/mexico_acuerdo_02_03_20_suspension_de_clases.pdf,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,No,25 March,,,,,,,Implemented additional WASH stations and measures in schools,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,http://national.doe.fm/index.php/ndoe-public/ndeo-news/recent-events/542-marcella-foundation-impacts-schools-with-healthy-contribution,https://www.fsmsped.org/,https://www.facebook.com/FSMSpecialEducation/,,
Moldova,MDA,Europe & Central Asia,Lower middle income,Yes,,10 March,1,23 March,2,Yes,Indefinitely,MoE is organizing distance learning and working with universities to design distance learning opportunities; released decree preventing the firing of teaching staff during this time. ,School year ended,,,,,"MoE organizing distance learning. MoE in disucssions with teleradio company about broadcasting educational programming on radio and TV

""Starting today, the Ministry of Education, Culture and Research launches the campaign ""I AM RESPONSIBLE! My class is HOME! ”(MoE, March 23)

Counseling available for students virtually and over the phone through MoE. ",Yes,Yes,Yes,No,No,Materials available in Romanian.,No,,,Yes,National exams cancelled,,,,,,,,,,,"

https://www.usnews.com/news/world/articles/2020-03-10/moldova-bans-foreigners-on-all-flights-from-countries-with-coronavirus",https://mecc.gov.md/ro/press-releases,https://www.facebook.com/ministerulculturii/?ref=nf&hc_ref=ART8NYYpwaQI_qLHrDFO8RbHojgfx8--mDqOAvV9tAx-BP8Y9YcZWj7nAu63uN8gIgk,,
Monaco,MCO,Europe & Central Asia,High income,Yes,,16 March,7,Indefinitely,,,,Closing all levels of education until further notice; encouraging continued instruction through digital learning. ,Yes,11 May,,,,MoE is encouraging use of distance learning (unclear what is available),,,,,,,,,,,,,,,,,,,,,,"https://www.hellomonaco.com/news/latest-news/four-more-people-tested-positive-for-covid-19-in-monaco/

https://en.gouv.mc/Policy-Practice/Social-Affairs-and-Health/News/CORONAVIRUS-The-Prince-s-Government-has-Decided-to-Close-Creches-and-Educational-Establishments-from-Monday","https://en.gouv.mc/Policy-Practice/Social-Affairs-and-Health/News/CORONAVIRUS-The-Prince-s-Government-has-Decided-to-Close-Creches-and-Educational-Establishments-from-Monday

https://twitter.com/MEDSMongolia",https://www.facebook.com/GvtMonaco/,,
Mongolia,MNG,East Asia & Pacific,Lower middle income,Yes,,20 Feb,0,30 March,6,Yes,30 April,Preventative measure as outbreak grew in China. School closures extended on March 24 until April 30th. ,No information,,,,,"Launching large scale televized lessons for all levels of education. TV seems to be the focus medium for distance learning. 

""Government has prepared online courses and tele-lessons in several languages such as Mongolian, Kazakh, Tuvan and sign language which are available to the students, their parents, and teachers and are being delivered on 16 different television channels with a fixed daily"" UNESCO

""Since the school closure, 480 online courses and 206 textbooks have been uploaded to  educational website (www.econtent.edu.mn) and so far have reached more than 100,000 overlapping users.

The Ministry of Education, Culture, Science and Sports of Mongolia has taken immediate actions to distribute the necessary education budget in the current emerging situation."" (UNESCO)",Yes,No,Yes,No,Yes,"Tele-lessons in several languages including Mongolian, Kazakh, Tuvan and sign language",No,,,,,Yes,Tele-lessons available in Sign Language,,,,,,Yes,MoE working with NGO partners to provide food for students in need.,,"https://www.usnews.com/news/world/articles/2020-02-19/mongolia-to-shut-schools-until-march-30-to-curb-virus-outbreak

https://mecss.gov.mn/news/2352/","https://mecss.gov.mn/news/2337/

https://twitter.com/MEDSMongolia

https://en.unesco.org/news/mongolia-students-embarked-remote-learning-response-covid-19",,,
Montenegro,MNE,Europe & Central Asia,Upper middle income,Yes,,13 March,0,At least 2 weeks,2,,,,School year ended,,,,,Nothing as of March 20th,No,No,No,No,,,,,,,,,,,,,,,,,One-time additional benefits to pensioners and family allowance; social security waiver/subsidy (Gentilini),https://www.usnews.com/news/world/articles/2020-03-13/montenegro-bars-gatherings-closes-schools-ports-and-border-crossings,http://www.mpin.gov.me/en/ministry,,,
Morocco,MAR,Middle East & North Africa,Lower middle income,Yes,,16 March,18,Indefinitely,,,,Courses being broadcast on television (possibly more - materials are in Arabic),No,,,,,Courses are being broadcast on television. Daily lesson schedules available from MoE. USAID is supporting distance learning in Morocco. ,Yes,No,Yes,No,Yes,Lessons broadcast in Arabic and French.,,,,,,,,,,,,,,,E-payments to workers in the informal sector; unemployment benefits; social security/wage subsidy (Gentilini),"https://twitter.com/MarocEducation

https://www.nytimes.com/reuters/2020/03/14/world/europe/14reuters-health-coronavirus-morocco.html","https://www.men.gov.ma/Ar/Pages/Accueil.aspx


https://www.men.gov.ma/Ar/Pages/DetailActualite.aspx?ActuID=3qh/5orIPXw=",https://www.facebook.com/EducationNationaleMaroc/,,
Mozambique,MOZ,Sub-Saharan Africa,Low income,Yes,,23 March,0,30 days,4,,,,No,,,,,Radio lessons launched on Mon 6 April,No,Yes,No,No,,,,,,,,,,,,,,,,,,"https://allafrica.com/stories/202003200758.html

https://allafrica.com/stories/202004060996.html","http://www.mined.gov.mz/Documents/Circular%20n%C2%BA02.pdf


http://www.mined.gov.mz/Pages/Home.aspx",,,
Myanmar,MMR,East Asia & Pacific,Lower middle income,Yes,,20 March,0,Indefinitely,,,,Coding as closed based on UNESCO data. ,No,,,,,Nothing from MoE as of March 22,No,No,No,No,,,,,,,,,,,,,,,,,,https://www.straitstimes.com/asia/se-asia/coronavirus-with-zero-infections-laos-and-myanmar-gird-for-battle,http://www.moe-st.gov.mm/,https://www.facebook.com/moe.gov.mm/,,
Namibia,NAM,Sub-Saharan Africa,Upper middle income,Yes,,16 March,2,16 April,4,,,All schools and libraries closed. MoE proposed alternate school calendar for students to make up classes at a later date.,Yes,3 June,,,,Details of parent guide,No,No,No,Yes,,,No,,,,,,,,,,,,,No - WFP is normally responsible for school meals. Currently discontinued.,,,https://twitter.com/wfpnamibia?lang=en,https://www.facebook.com/MoEACNamibia/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/namibia_72e_closure.due_to_covid-19.pdf,
Nauru,NRU,East Asia & Pacific,Upper middle income,No,20 March,,,,,,,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,South Asia,Low income,Yes,,18 March,1,12 April,,,,"""The government of Nepal on Wednesday decided to shut all academic instructions including schools, colleges, and universities till April 12""",No information,,,,,Nothing from the MoE as of March 22,No,No,No,No,,,,,,,,,,,,,,,,,,"https://moe.gov.np/assets/uploads/files/New_Doc_2020-03-18_21.52_.28_1-converted_.pdf

https://kathmandupost.com/2/2020/03/14/parents-demand-that-schools-close-down-but-government-wants-to-finish-with-exams-first

https://english.onlinekhabar.com/coronavirus-crisis-nepal-shuts-schools-colleges-till-april-12-gyms-and-cinemas-till-april-30.html",https://moe.gov.np/,https://www.facebook.com/moenepalofficial/,,
Netherlands,NLD,Europe & Central Asia,High income,Yes,,16 March,"1,135",Indefinitely,,,,,Yes,11 May,,,Plans to reopen schools for primary-level students in May. ,Parliament discussing distance learning options as of March 20th,Yes,No,No,No,,,,,,Yes,"""All national exams for this school year have been cancelled, education minister Arie Slob has decided in consultation with the education sector. This will give schools more time to round off the school exams. Pupils can obtain their school-leaving certificates based on their results on the school exams."" (March 24, MoE)",,,,,,Yes,Reduced work time (subsidized) (Gentilini),,,Special unemployment payment; cash transfer to self-employed,"https://nltimes.nl/2020/03/13/mps-concerned-schools-staying-open-netherlands

https://www.forbes.com/sites/carltonreid/2020/03/15/coronavirus-leads-to-closures-of-dutch-sex-shops-and-cannabis-cafes-but-bike-shops-to-stay-open/#6d64ca4f25b1","https://www.government.nl/ministries/ministry-of-education-culture-and-science

https://www.government.nl/ministries/ministry-of-education-culture-and-science/news/2020/03/24/no-national-exams-this-year",https://www.leraar.nl/news/view/60169116/Lesgeven%20vanuit%20huis:%20praktische%20tools%20en%20tips,,https://www.theguardian.com/world/2020/apr/21/lockdown-eased-netherlands-and-france-plan-to-re-open-primary-schools
